"year","mrate_all_adults","mrate_male_adults","mrate_female_adults","mrate_nsw","mrate_vic","mrate_qld","mrate_nt","mrate_wa","mrate_sa","mrate_tas","mrate_act","pstay_indigenous","pstay_non_indigenous","non_aborig_migration","pstay_nsw","pstay_nsw_lower","pstay_nsw_upper","pstay_aus","pstay_aus_lower","pstay_aus_upper","pstay_os","pstay_os_lower","pstay_os_upper","pstay_vic","pstay_vic_lower","pstay_vic_upper","drate_indigenous","drate_indigenous_lower","drate_indigenous_upper","drate_non_indigenous","drate_non_indigenous_lower","drate_non_indigenous_upper","drate_male","drate_female","drate_nsw","drate_nsw_lower","drate_nsw_upper","drate_vic","drate_vic_lower","drate_vic_upper","drate_qld","drate_qld_lower","drate_qld_upper"
1980,1.29953618070721,1.29953618070721,0.972959864802975,1.75050330333314,0.602053074654633,0.982482771934967,1.06695838055538,0.229938745267201,0.415002103277149,0.470050857193425,1.46362481937139,1,1,1,1.01091836734694,1.02229166666667,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,1,1,1,1,0.580113702285648,0,0,0,0,0,0,0,0,0
1981,1.29603511351845,1.29603511351845,0.97277077163554,1.71667747762595,0.618959829169764,0.983809870238598,1.09147821251619,0.278301085522804,0.423820288999063,0.46707629882572,1.45700186326365,1,1,1,0.933163265306122,0.863541666666667,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,1,1,1,1,0.583158385817588,1,1,1,1,1,1,1,0.401680067500496,0.433112728243033
1982,1.29253404632969,1.29253404632969,0.972581678468106,1.6841378597878,0.635223713917707,0.985086506380687,1.11506569175075,0.324824475174775,0.43230316820209,0.464214846355639,1.45063074131173,1,1,1,0.991479591836735,0.982604166666667,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,1,1,1,1,0.586235197561262,0,0,0,0,0,0,0,0,0
1983,1.28903297914093,1.28903297914093,0.972392585300671,1.6528124575622,0.650880711919763,0.986315504854027,1.13777300436227,0.369611844866554,0.440469508826851,0.461460168964506,1.44449735773099,1,1,1,0.983475390156062,0.966262254901961,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,1,1,1,1,0.589344648750589,1,1,1,1,1,1,1,0.148927217248436,0.164287894831242
1984,1.2765636566443,1.28553191195217,0.972203492133237,1.62263455306715,0.665964169970291,0.987499483220415,1.15964851313929,0.412758584225526,0.44833670381683,0.458806399648937,1.43858864943738,1,0.99981778425656,1.00892857142857,0.996257472686044,0.992359006734007,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.99375,0.991964285714286,0.995535714285714,1.0161235979121,0.602040287896731,1,1,1,1,1,1,1,0.0362145041076862,0.0399994545190278
1985,1.26924177824464,1.28203084476341,0.972014398965802,1.59354222846173,0.680505035716946,0.988640870720206,1.18073710139281,0.454353220039383,0.455920894774159,0.456248093509122,1.43289249317495,1,0.99992298806315,1.00377358490566,0.997403372184088,0.994698551542513,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.997358490566038,0.996603773584906,0.99811320754717,1.02333293918036,0.609562151048584,1,1,1,1,1,1,1,0.0338709578175634,0.0371750667651486
1986,1.26636220212076,1.27852977757466,0.971825305798368,1.56547794189744,0.694532069607904,0.989741924909222,1.20108048034274,0.494478022537945,0.463237082506539,0.453780190459063,1.42739762248888,1,0.999928767318446,1.00349040139616,0.997143989880874,0.994168979340117,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.997556719022688,0.996858638743456,0.99825479930192,1.02384305648304,0.613153106050449,1,1,1,1,1,1,1,0.0443797711969226,0.0480996554117582
1987,1.26374952371362,1.2750287103859,0.971636212630933,1.53838814764298,0.708072034760268,0.99080474656247,1.22071746448385,0.5332095485184,0.470299226058396,0.451397981821302,1.4220935533475,1,0.99990946578975,1.00443617630223,0.996535777634836,0.992927212671124,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.996894676588437,0.996007441327991,0.997781911848884,1.0225514305322,0.615698115686535,1,1,1,1,1,1,1,0.0434784421892352,0.0470438051293239
1988,1.26006047769535,1.27152764319714,0.971447119463499,1.51222295510554,0.721149867387355,0.991831293051866,1.23968421875598,0.57061912885808,0.477120331601893,0.449097080342102,1.41697051738008,1,0.999909503312411,1.00443433769187,0.996300252028522,0.992446347891566,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.996895963615691,0.996009096077317,0.997782831154065,1.02182233003967,0.618611411817209,1,1,1,1,1,1,1,0.0424119941598553,0.0458916821649657
1989,1.25656329136513,1.26802657600838,0.971258026296064,1.48693582218015,0.733788830068166,0.992823390377124,1.25801448083054,0.606773306947096,0.483712532378925,0.446873393225353,1.41201940183584,1,0.999895709206366,1.00511024888805,0.996178593433677,0.992197961593757,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.996422825778367,0.995400776000757,0.997444875555976,1.02130193418214,0.621683670673327,1,1,1,1,1,1,1,0.0620267089531018,0.0672565307311235
1990,1.25252970318947,1.26452550881962,0.97106893312863,1.4624832789616,0.746010649841172,0.993782744005488,1.27573976138755,0.64173423371018,0.490087160727711,0.444723097836495,1.407231695488,1,0.999888829747812,1.00544734235721,0.996134922251153,0.992108799596104,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.99618686034995,0.995097391878508,0.997276328821393,1.02227413501419,0.625703351092046,1,1,1,1,1,1,1,0.0721348058163667,0.0785319492905891
1991,1.248632467631,1.26102444163086,0.970879839961195,1.4388246783685,0.75783564284685,0.994710948655537,1.29288952488458,0.675560024150857,0.496254813093579,0.442642619773031,1.40259943980694,1,0.999884419787332,1.00566343042071,0.995842262783911,0.991511286517152,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.996035598705502,0.994902912621359,0.997168284789644,1.02255310285463,0.629340905252724,1,1,1,1,1,1,1,0.0756530014702318,0.0828770402476023
1992,1.24457857292246,1.2575233744421,0.97069074679376,1.41592197067004,0.76928282702327,0.995609497143261,1.30949135299885,0.708305079720992,0.50222540880846,0.440628613036957,1.39811518481348,1,0.999881763538075,1.00579358663433,0.995484849563191,0.990781567858181,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.995944489355969,0.994785772029103,0.997103206682835,1.02298587024575,0.633114166509314,1,1,1,1,1,1,1,0.0775093995732941,0.0855039503661128
1993,1.24078356999445,1.25402230725334,0.970501653626326,1.39373949928455,0.780370024169602,0.996479788393516,1.32557109264971,0.740020380276869,0.508008243324944,0.438677942077811,1.3937719490971,1,0.999871872405416,1.00627825213461,0.995342036719747,0.99048999163615,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.995605223505776,0.994349573078855,0.996860873932697,1.02315144903061,0.63676341114676,1,1,1,1,1,1,1,0.0857067748826584,0.095224451334351
1994,1.23676693225156,1.25052124006458,0.970312560458891,1.37224381554487,0.79111395252977,0.997323134707462,1.34115299027262,0.770753748917877,0.513612036505836,0.436787665503607,1.38956318354779,1,0.999858000868842,1.00695795742674,0.995135655943264,0.990068630884163,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.995129429801285,0.993737838315938,0.996521021286632,1.0236693700662,0.64067428343109,1,1,1,1,1,1,1,0.0923522048311743,0.10352287115607
1995,1.23301663078626,1.24702017287582,0.970123467291457,1.35140351040635,0.801530310907756,0.998140768365128,1.35625981381129,0.800550092601084,0.519044976496822,0.434955021281646,1.38548273840509,1,0.999849470409532,1.00737594993295,0.994783359497645,0.989349358974359,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.994836835046938,0.993361645060349,0.996312025033527,1.02381101942729,0.644392635591195,1,1,1,1,1,1,1,0.0816349913337633,0.0924392714882694
1996,1.22925071314643,1.24351910568707,0.969934374124022,1.33118906131695,0.811633855204681,0.998933847633235,1.37091296371937,0.829451621078258,0.52431475964652,0.433177413272665,1.38152483327603,1,0.999842630096072,1.00771112529249,0.994301567350719,0.988365700007718,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.994602212295256,0.993059987236758,0.996144437353755,1.02400444270275,0.648186126536744,1,1,1,1,1,1,1,0.0657144542986631,0.0750667257859155
1997,1.22535936458334,1.24001803849831,0.969745280956588,1.31157269267912,0.821438468162511,0.99970346223978,1.3851325741095,0.857498046399966,0.529428626883204,0.431452398960207,1.37768402981401,1,0.999836759647817,1.00799877725698,0.9937514327765,0.987242508585355,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.994400855920114,0.992801100468718,0.99600061137151,1.0244706515025,0.652196747837092,1,1,1,1,1,1,1,0.0342182500255977,0.0393678057891633
1998,1.2213244017359,1.23651697130955,0.969556187789153,1.29252824851659,0.830957223007404,1.00045063836965,1.39893760505521,0.884726764969604,0.534393396909794,0.429777678253245,1.37395520678759,1,0.999816693144324,1.00898203592814,0.993244498735067,0.986207518250762,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.9937125748503,0.991916167664671,0.995508982035928,1.02510574665264,0.656361727911794,1,1,1,1,1,1,1,0.0242439698656073,0.0279857076340181
1999,1.21759044383118,1.23301590412079,0.969367094621719,1.27403107611851,0.840202441606509,1.00117634322971,1.41234592693556,0.911173023902819,0.539215496537113,0.428151083254148,1.37033353729842,1,0.999813248517842,1.00915082262576,0.992819646939613,0.98534011250171,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.993594424161965,0.991764259636812,0.995424588687118,1.02126663607021,0.657693609009669,1,1,1,1,1,1,1,0.0212812404307426,0.0246211349152795
2000,1.21378530776912,1.22951483693203,0.969178001454284,1.25605791957254,0.84918574768202,1.00188148922583,1.42537439761141,0.936870073248116,0.543900988439167,0.426570568896253,1.3668144679355,1,0.999804782547373,1.00956565517873,0.992275331185106,0.984228801169591,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.993304041374891,0.991390910339146,0.995217172410637,1.02174196323622,0.661835706203015,1,1,1,1,1,1,1,0.0212055431608618,0.0245952048609566
2001,1.20990848592071,1.22601376974327,0.968988908286849,1.23858682221997,0.857918115565859,1.00256693778989,1.43803893313418,0.961849305451279,0.548455596582488,0.425034204365999,1.36339369967631,1,0.999799707681481,1.00981432360743,0.991703108914189,0.983060514033136,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.993129973474801,0.991167108753316,0.995092838196286,1.02231734112336,0.666091569665988,1,1,1,1,1,1,1,0.018950471855909,0.0220490189114456
2002,1.20618319997461,1.22251270255451,0.968799815119415,1.22159703717271,0.866409914924881,1.00323350289048,1.4503545726108,0.986140383293326,0.552884729553813,0.423540165234025,1.36006717036636,1,0.999783363914692,1.01061516818007,0.991273908349116,0.982184229546112,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.992569382273948,0.990446348637933,0.994692415909963,1.02617802551072,0.672550809746179,1,1,1,1,1,1,1,0.0164023760234591,0.0191331498010265
2003,1.20256103918068,1.21901163536575,0.96861072195198,1.20506894512527,0.874670951839939,1.00388195425744,1.46233553778056,1.00977135739854,0.557193501986002,0.422086726227761,1.35683103862719,1,0.99977169448021,1.01118697046969,0.991016801455286,0.981659302971209,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.992169120671218,0.989931726577281,0.994406514765156,1.02623998156013,0.676582266323926,1,1,1,1,1,1,1,0.014743798022875,0.0172360255097356
2004,1.19862446153337,1.21551056817699,0.968421628784546,1.18898397877724,0.882710506580877,1.00451302034697,1.47399528780006,1.0327687742911,0.561386754260623,0.420672254585324,1.35368166905852,1,0.999761180206939,1.01170216985997,0.99074208534549,0.981098424247042,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.991808481098021,0.989468047126026,0.994148915070015,1.02675062738907,0.680959429227399,1.35574892286897,1.01796135446478,1.73985208086846,0.377067669172932,0.105292824879287,0.950007253977066,1.34718927821981,0.00238436462549702,0.0202731768494618
2005,1.19505950728424,1.21200950098824,0.968232535617111,1.17332455325418,0.890537368383394,1.0051273910715,1.48534656968012,1.05515777587554,0.565469070646813,0.419295203936915,1.350615618615,1,0.999754315851541,1.01203852327448,0.990591215920816,0.980790399171665,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.991573033707865,0.989165329052969,0.993980738362761,1.02367243269667,0.682994684211817,0.880042595840641,0.578346152150258,1.27154474930425,1.09882288529975,0.766606511908945,1.50959979795934,1.52302377931113,0.00669345372565277,0.0292554301274689
