"year","mrate_all_adults","mrate_male_adults","mrate_female_adults","mrate_nsw","mrate_vic","mrate_qld","mrate_nt","mrate_wa","mrate_sa","mrate_tas","mrate_act","pstay_indigenous","pstay_non_indigenous","non_aborig_migration","pstay_nsw","pstay_nsw_lower","pstay_nsw_upper","pstay_aus","pstay_aus_lower","pstay_aus_upper","pstay_os","pstay_os_lower","pstay_os_upper","pstay_vic","pstay_vic_lower","pstay_vic_upper","drate_indigenous","drate_indigenous_lower","drate_indigenous_upper","drate_non_indigenous","drate_non_indigenous_lower","drate_non_indigenous_upper","drate_male","drate_female","drate_nsw","drate_nsw_lower","drate_nsw_upper","drate_vic","drate_vic_lower","drate_vic_upper","drate_qld","drate_qld_lower","drate_qld_upper"
1980,1.29953618070721,1.29953618070721,0.972959864802975,1.75050330333314,0.602053074654633,0.982482771934967,1.06695838055538,0.229938745267201,0.415002103277149,0.470050857193425,1.46362481937139,1,1,1,1.01091836734694,1.02229166666667,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,1,1,1,1,0.580113702285648,0,0,0,0,0,0,0,0,0
1981,1.29603511351845,1.29603511351845,0.97277077163554,1.71667747762595,0.618959829169764,0.983809870238598,1.09147821251619,0.278301085522804,0.423820288999063,0.46707629882572,1.45700186326365,1,1,1,0.933163265306122,0.863541666666667,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,1,1,1,1,0.583158385817588,1,1,1,1,1,1,1,0.401680067500496,0.433112728243033
1982,1.29253404632969,1.29253404632969,0.972581678468106,1.6841378597878,0.635223713917707,0.985086506380687,1.11506569175075,0.324824475174775,0.43230316820209,0.464214846355639,1.45063074131173,1,1,1,0.991479591836735,0.982604166666667,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,1,1,1,1,0.586235197561262,0,0,0,0,0,0,0,0,0
1983,1.28903297914093,1.28903297914093,0.972392585300671,1.6528124575622,0.650880711919763,0.986315504854027,1.13777300436227,0.369611844866554,0.440469508826851,0.461460168964506,1.44449735773099,1,1,1,0.983475390156062,0.966262254901961,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,1,1,1,1,0.589344648750589,1,1,1,1,1,1,1,0.148927217248436,0.164287894831242
1984,1.2765636566443,1.28553191195217,0.972203492133237,1.62263455306715,0.665964169970291,0.987499483220415,1.15964851313929,0.412758584225526,0.44833670381683,0.458806399648937,1.43858864943738,1,0.99981778425656,1.00892857142857,0.996257472686044,0.992359006734007,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.993303571428571,0.991071428571429,0.995535714285714,1.0161235979121,0.602040287896731,1,1,1,1,1,1,1,0.0362145041076862,0.0399994545190278
1985,1.26924177824464,1.28203084476341,0.972014398965802,1.59354222846173,0.680505035716946,0.988640870720206,1.18073710139281,0.454353220039383,0.455920894774159,0.456248093509122,1.43289249317495,1,0.99992298806315,1.00377358490566,0.997403372184088,0.994698551542513,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.997169811320755,0.99622641509434,0.99811320754717,1.02333293918036,0.609562151048584,1,1,1,1,1,1,1,0.0338709578175634,0.0371750667651486
1986,1.26636220212076,1.27852977757466,0.971825305798368,1.56547794189744,0.694532069607904,0.989741924909222,1.20108048034274,0.494478022537945,0.463237082506539,0.453780190459063,1.42739762248888,1,0.999928767318446,1.00349040139616,0.997143989880874,0.994168979340117,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.99738219895288,0.996509598603839,0.99825479930192,1.02384305648304,0.613153106050449,1,1,1,1,1,1,1,0.0443797711969226,0.0480996554117582
1987,1.26374952371362,1.2750287103859,0.971636212630933,1.53838814764298,0.708072034760268,0.99080474656247,1.22071746448385,0.5332095485184,0.470299226058396,0.451397981821302,1.4220935533475,1,0.99990946578975,1.00443617630223,0.996535777634836,0.992927212671124,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.996672867773326,0.995563823697768,0.997781911848884,1.0225514305322,0.615698115686535,1,1,1,1,1,1,1,0.0434784421892352,0.0470438051293239
1988,1.26006047769535,1.27152764319714,0.971447119463499,1.51222295510554,0.721149867387355,0.991831293051866,1.23968421875598,0.57061912885808,0.477120331601893,0.449097080342102,1.41697051738008,1,0.999909503312411,1.00443433769187,0.996300252028522,0.992446347891566,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.996674246731097,0.99556566230813,0.997782831154065,1.02182233003967,0.618611411817209,1,1,1,1,1,1,1,0.0424119941598553,0.0458916821649657
1989,1.25656329136513,1.26802657600838,0.971258026296064,1.48693582218015,0.733788830068166,0.992823390377124,1.25801448083054,0.606773306947096,0.483712532378925,0.446873393225353,1.41201940183584,1,0.999895709206366,1.00511024888805,0.996178593433677,0.992197961593757,1,1.01091836734694,1.02229166666667,1,0.933163265306122,0.863541666666667,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.996167313333964,0.994889751111952,0.997444875555976,1.02130193418214,0.621683670673327,1,1,1,1,1,1,1,0.0620267089531018,0.0672565307311235
