"stage","year","sex","estimate","lower","upper","percentprevious","percentpreviousLower","percentpreviousUpper"
"infections",2017,"male",159671.5,155852,163491,NA,NA,NA
"infections",2017,"female",95555.5,92924,98187,NA,NA,NA
"infections",2017,"all",255227,248776,261678,NA,NA,NA
"notifications",2017,"male",30491,NA,NA,19.0960816426225,NA,NA
"notifications",2017,"female",42808,NA,NA,44.7990958134278,NA,NA
"notifications",2017,"all",73299,NA,NA,28.7191402163564,NA,NA
"treated",2017,"male",28464.8074267402,25917.35,30491,93.354784778263,NA,NA
"treated",2017,"female",39963.3162678788,36386.8,42808,93.354784778263,NA,NA
"treated",2017,"all",68428.123694619,62304.15,73299,93.354784778263,NA,NA
"retested",2017,"male",3724.01689989577,2334.53860969862,5900.73377559909,13.0828810610445,7.65648424026311,22.7675042996259
"retested",2017,"female",8033.57209136764,5719.71488255134,10861.4359676342,20.1023659736286,13.3613223756105,29.8499345027157
"retested",2017,"all",11757.5889912634,8054.25349224997,16762.1697432333,17.1823927888702,10.9882174275911,26.9037772656127
